IDLavorazione,IDArticolo,IDParam,Tipo_Param,Attrezzi_Param,Impostazione_Param,Param1,Param2,Param3,OP,DOC,DUM,Param4,Param5,Param6,Param7,Param8,Param9
PIE,OV311046,30,ov311046,R10,X35,NO,NO,,JARRI,27/07/2021 07:47:08,27/07/2021 07:47:59,,,,,,
PIE,OV311075,31,,,,,,,OSCAR P,27/07/2021 07:50:36,27/07/2021 07:53:38,,,,,,
PIE,1211L0015_02,34,1211L0015-02,1995,60X60 CAVA 35,,100,,OSCAR P,28/07/2021 09:43:22,28/07/2021 09:44:34,,,,,,
PIE,1211L0015_01,35,1211L0015-01,1995,60X60 CAVA 35,,100,,OSCAR P,28/07/2021 09:44:46,28/07/2021 09:45:19,,,,,,
PIE,12315,36,12315,PS.134.30.R0.8,T8 90°,,100,,OSCAR P,29/07/2021 10:58:13,31/08/2022 12:21:22,,,,,,
PIE,OV310890,37,ov310890,p.145.85.r08,M0655,NO,NO,punzone girato,JARRI,29/07/2021 15:08:14,29/07/2021 15:11:08,,,,,,
PIE,OV322553,38,,14,16,,doppio,,JARRI,02/08/2021 14:48:23,02/08/2021 14:49:32,,,,,,
PIE,1214N0361,39,vedi prog Jarri,spillo 104,v 35,,,lasciare buco nel sopralzo,JARRI,01/09/2021 10:28:01,21/07/2023 13:58:39,,,,,,
PIE,12315F,41,12315F,PS.134.30.R0.8,T8 90°,,100,,OSCAR P,06/09/2021 13:06:52,20/10/2021 09:42:57,,,,,,
PIE,4C006063B,42,4C006063B,S1995,V25,NO,100,piega a 90 gradi in tutti e 2 i lati,DANIELE,10/09/2021 13:31:12,10/09/2021 13:34:31,,,,,,
PIE,121206,43,121206,punzone 14 88gradi,T8,,100,piega a 90 tutti e 4 i lati  coltello da 14 girato,DANIELE,10/09/2021 15:41:50,10/09/2021 15:43:47,,,,,,
PIE,121105,44,121105,14 88gradi,T8,NO,100,una piega ad L a 90 gradi,DANIELE,13/09/2021 08:16:30,13/09/2021 08:17:24,,,,,,
PIE,FNX0258853,45,FNX02548853,1995,X 16,,100,,OSCAR P,13/09/2021 10:21:44,13/09/2021 10:22:34,,,,,,
PIE,CRC6X_FON,46,crc6x_fon,raggio 10,cava da v 32,NO,100,fare 2 piege a 90,DANIELE,13/09/2021 14:34:46,13/09/2021 14:35:47,,,,,,
PIE,FNX0254981_RAS,47,FNX0254981,punzone 14 88gradi,CAVA X DA 16,NO,100,FARE UNA PIEGA L,DANIELE,13/09/2021 14:59:12,13/09/2021 15:00:26,,,,,,
PIE,9210-0157,49,9210-0157,"ST.1-PS.134.30.R0.8/ ST.2 PS.134.30.R0,8",ST.1- T6 88°/ST.2 T10 90°,ST.2,100,Sotto ST.2 mettere spessore mm 0.8,OSCAR P,13/09/2021 16:24:31,13/09/2021 16:29:28,,,,,,
PIE,FNX0250877,52,fnx02550877,coltello 14 88 oppure s1995,cava multipla  da 22,NO,100,fare una piega a gradi,DANIELE,14/09/2021 08:57:03,27/10/2021 09:33:42,,,,,,
PIE,000953,54,000953,coltello da 14,cava t8,NO,100,fare una piega a 90,DANIELE,14/09/2021 10:37:43,14/09/2021 10:38:32,,,,,,
PIE,FNZ0200079,55,fnz0200079,coltello 14 88,multiplo da 16,NO,100,fare una piega a L,DANIELE,14/09/2021 11:26:10,14/09/2021 11:27:29,,,,,,
PIE,1205N0897,56,1205n0897,punzone da 14 88gradi,multiplo da 16,,100,fare una piega a L,DANIELE,14/09/2021 11:33:08,14/09/2021 11:33:57,,,,,,
PIE,OV311219,59,,,,,,"attenzione al verso di piega,sulla piega schiacciata usare la 12 con un angolo di 145 gradi circa",JARRI,14/09/2021 15:29:26,15/09/2021 07:37:44,,,,,,
PIE,LM-8442F_01,60,LM-8442F_01,PS.134.30.R0.8,T8 90°,,100,,OSCAR P,14/09/2021 16:00:45,14/09/2021 16:02:46,,,,,,
PIE,MENS_1000_DX_03,61,MENS_1000_DX_03,p.145.85.r08,T8 90°,,100,,OSCAR P,15/09/2021 08:24:17,15/09/2021 08:25:32,,,,,,
PIE,MENS_700_DX_03,62,MENS_700_DX_03,p.145.85.r08,T8 90°,,100,,OSCAR P,15/09/2021 09:12:04,15/09/2021 09:12:39,,,,,,
PIE,MENS_INT_700,63,MENS_INT_700,p.145.85.r08,T8 90°,,100,,OSCAR P,15/09/2021 10:43:42,15/09/2021 10:44:08,,,,,,
