IDLavorazione,IDArticolo,IDParam,Tipo_Param,Attrezzi_Param,Impostazione_Param,Param1,Param2,Param3,OP,DOC,DUM,Param4,Param5,Param6,Param7,Param8,Param9
SAL,LM-7596,24,T110 TIG,,,,,,GIANCARLO,21/07/2021 07:49:34,21/07/2021 07:49:54,,,,,,
SAL,3401671,25,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,21/07/2021 07:54:23,22/10/2021 08:08:42,,,,,,
SAL,01002167,29,T110 TIG,,PROVA,,,,MARCO,21/07/2021 10:10:56,21/07/2021 10:11:08,,,,,,
SAL,1208A2812,33,MICORMIG 350,1.8,"SAL TRATTI ,PUNTATURA STAFFA",,,,ALESSANDRO,27/07/2021 08:01:17,20/09/2021 09:40:36,,,,,,
SAL,FNY8583064,40,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,06/09/2021 12:51:24,08/10/2021 12:08:46,,,,,,
SAL,FNY8150104,48,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,13/09/2021 15:57:36,13/09/2021 15:59:21,,,,,,
SAL,FNY8150103,50,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,13/09/2021 17:03:18,13/09/2021 17:04:12,,,,,,
SAL,FNY8584313,51,MICORMIG 350,3.0,,,,,ALESSANDRO,13/09/2021 17:17:38,13/09/2021 17:18:20,,,,,,
SAL,FNY8150101,53,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,14/09/2021 08:57:53,14/09/2021 08:58:59,,,,,,
SAL,9010716200,57,T110 TIG,180,regolata a punto,,,,ALESSANDRO,14/09/2021 12:14:23,14/09/2021 12:15:00,,,,,,
SAL,FNY8150102,58,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,14/09/2021 12:22:22,14/09/2021 12:22:44,,,,,,
SAL,FNX2282938,65,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,15/09/2021 11:14:29,15/09/2021 11:15:37,,,,,,
SAL,FNZ0203199,66,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,15/09/2021 12:07:30,02/12/2021 15:56:59,,,,,,
SAL,FNY8531152,68,MICORMIG 350,3.0,puntatura,,,,ALESSANDRO,15/09/2021 12:46:50,15/09/2021 16:18:08,,,,,,
SAL,FNY8380383,71,MICORMIG 350,1.8,,,,,ALESSANDRO,16/09/2021 07:44:15,16/09/2021 07:44:31,,,,,,
SAL,FNX2286232,77,MICORMIG 350,1.8,sal tratti pulire est,,,,ALESSANDRO,17/09/2021 08:49:39,17/09/2021 08:50:14,,,,,,
SAL,05L0115144E_003,84,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,18/09/2021 08:37:23,10/03/2022 08:37:38,,,,,,
SAL,40003871,85,MICORMIG 350,1.8,,,,,GIULIO,18/09/2021 08:38:03,29/04/2024 12:14:56,,,,,,
SAL,TEK035,90,T110 TIG,120,dare solo un punto con corente a 120 e pulire col frullo,,,,GIUNTA,20/09/2021 11:28:39,20/09/2021 11:29:34,,,,,,
SAL,OV325923,98,MICORMIG 350,1.8,,,,,ALESSANDRO,21/09/2021 10:37:39,21/09/2021 10:38:04,,,,,,
SAL,FNY8382402,100,MICORMIG 350,3.0,SAL TAGLIO DI RISCONTRO PIU PULIRE,,,,ALESSANDRO,21/09/2021 11:25:26,21/09/2021 11:26:35,,,,,,
SAL,FNZ0100244,106,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,21/09/2021 14:09:42,21/09/2021 14:10:18,,,,,,
